Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
NORTE,RO,1314,2025-01-02,2025-06-30,5.85,8.71,7.003432267884323
NORTE,RR,407,2025-01-06,2025-06-30,6.89,7.09,6.985823095823096
NORTE,TO,1162,2025-01-02,2025-06-30,5.87,6.99,6.550886402753873
SUDESTE,ES,2420,2025-01-02,2025-06-30,5.39,6.99,6.307677685950413
SUDESTE,MG,11210,2025-01-01,2025-06-30,5.49,6.89,6.174649420160572
SUDESTE,RJ,8512,2025-01-01,2025-06-30,5.09,7.79,6.188061560150376
SUDESTE,SP,30299,2025-01-01,2025-06-30,4.99,8.99,6.124022905046371
SUL,PR,6834,2025-01-01,2025-06-30,5.29,6.99,6.463485513608428
SUL,RS,8447,2025-01-01,2025-06-30,5.43,7.39,6.252748904936664
SUL,SC,3909,2025-01-02,2025-06-30,5.59,7.29,6.466313635200819
